bird id,treatment type,habitat type,site,nestid,age,date,year,lysine,methionine,arginine,isoleucine,alanine,glycine,tyrosine,carnosine,proline,hydroxyproline,serine,citrulline,cystathionine,glutamic acid,sarcosine,threonine,valine,1-methylhistidine,ornithine,alpha amino n butyric acid,histidine,gamma amino butyric acid,taurine,leucine,tryptophan,phenylalanine,aspartic acid,mass,tarsus,wing chord,pin,time sampled,notes
33SJLB,R,Rural,Stream,33SJL22,7,6/30/2022,2022,28.718,4.539,31.965,22.464,2.301,34.643,25.303,2.431,40.812,9.099,38.468,2.448,3.024,36.486,2.578,28.698,69.619,3.35,2.276,30.901,14.744,0.919,47.136,26.466,11.981,12.309,29.034,17.3,19.32,32.71,17.06,NA,drop in analysis
912,R,Rural,Kentland,14TEF21,9,5/19/2021,2021,5.064,0.25,9.802,5.952,1.989,31.688,6.075,4.016,6.066,2.897,37.625,1.438,1.412,16.326,2.686,24.818,18.452,1.96,0.5,46.258,3.268,0.95,50.628,5.901,4.675,5.438,5.268,11,20.21,32.26,19.81,7:05,
798,R,Rural,Stream,10CMT22,9,7/25/2022,2022,13.6,4.711,25.757,21.338,0.631,17.239,29.918,4.737,20.687,4.522,37.16,1.919,2.673,37.013,0.785,21.858,65.033,2.599,1.992,48.659,6.085,3.587,12.849,23.84,10.605,13.39,15.235,14.3,20.56,35.38,23.98,10:15,
928,R,Rural,Heritage,15TEF21,9,5/22/2021,2021,12.592,2.482,18.737,13.621,3.261,32.779,16.116,6.107,19.218,3.389,25.109,1.701,2.49,25.374,4.324,33.176,48.304,1.516,1.666,62.33,3.177,2.081,23.89,17.136,6.625,8.584,7.214,16.4,21.23,39.26,26.41,12:32,
776,R,Rural,Kentland,20TEF22,9,6/1/2022,2022,17.939,7.078,34.725,16.8,0.981,28.819,14.326,8.583,27.419,5.365,55.188,2.988,2.617,27.347,1.635,19.991,46.516,2.612,2.562,24.623,4.284,0.634,63.669,22.271,8.459,14.356,4.323,15.6,20.9,38.47,24.55,8:25,
22IJVRR,UC,Urban,Radford,22IJV22,9,6/12/2022,2022,3.072,1.094,7.066,3.698,0.954,25.388,0.25,3.822,7.904,8.129,42.211,1.223,1.506,20.172,1.334,29.314,12.022,1.127,0.264,13.496,2.047,0.433,33.56,5.53,0.25,4.999,0.5,14.6,20.5,38.53,24.39,NA,
437,R,Rural,Stream,30IJV20,6,6/18/2022,2020,6.753,0.803,10.093,8.76,1.663,22.463,10.517,2.861,20.222,2.25,17.559,1.515,2.847,19.188,1.714,32.158,29.445,1.532,1.063,59.488,6.559,1.098,48.213,10.584,7.131,9.204,11.25,13.7,20.77,30.6,18,NA,drop in analysis
774,R,Rural,Stream,17TEF22,9,6/7/2022,2022,21.557,10.057,22.823,25.181,0.905,17.356,23.211,1.631,27.265,5.384,34.255,2.3,3.469,17.783,1.516,32.669,83.845,2.906,2.789,58.173,10.878,0.607,35.941,31.001,4.661,16.987,8.332,17.4,21.2,35.16,20.62,NA,
935,R,Rural,Kentland,14TEF21,9,5/19/2021,2021,10.019,1.779,14.119,7.751,0.351,25.783,5.549,3.132,9.07,5.967,33.422,1.366,1.165,12.196,0.799,8.631,13.793,1.245,1.7,70.482,3.658,0.25,18.901,8.91,3.118,6.081,5.827,10.6,19.10666667,30.925,19.51,7:05,
922,R,Rural,Stream,25SJL21,9,5/28/2021,2021,21.211,5.6,24.566,18.911,1.323,20.483,18.365,2.031,22.963,10.262,34.998,2.102,2.401,25.085,1.472,34.48,56.195,2.331,2.116,52.355,6.546,0.25,34.546,24.427,7.427,10.466,11.972,15.1,21.35,34.37,21.54,7:15,
964,R,Rural,Kentland,17IJV21,9,5/23/2021,2021,11.354,2.175,14.215,6.563,0.975,43.013,8.648,5.929,10.375,2.349,24.248,2.416,1.873,19.901,1.481,10.455,22.316,2.165,2.104,30.051,9.868,0.848,74.112,9.558,4.925,6.624,6.093,16.8,20.66,29.57,21.39,8:20,
775,R,Rural,Stream,17TEF22,9,6/7/2022,2022,17.185,7.015,20.134,13.547,2.231,38.564,13.265,5.848,25.101,6.258,51.753,2.326,4.169,28.5,2.778,36.29,47.913,2.185,3.321,86.82,8.325,0.868,50.851,16.618,8.016,12.378,10.456,16.7,21.8,35.4,25.1,NA,
944,R,Rural,Heritage,15TEF21,9,5/22/2021,2021,7.802,0.45,8.671,13.687,2.399,29.363,18.653,3.485,17.54,2.335,37.151,3.069,1.931,22.489,2.976,24.54,55.544,1.329,1.337,98.62,5.445,3.913,33.39,15.668,6.011,11.681,9.703,16.1,19.57,37.08,25.96,12:32,
499,R,Rural,Stream,35SJL20,8,6/6/2020,2020,20.548,0.864,21.784,21.362,1.105,36.313,10.713,3.623,26.872,13.431,43.289,1.724,2.668,25.173,1.504,30.536,53.665,2.762,1.261,65.441,5.278,0.25,18.744,26.814,6.882,13.656,17.297,17.4,22.2,37.4,22.7,NA,
20TEFB,R,Rural,Kentland,20TEF22,9,6/11/2022,2022,18.158,5.719,29.728,18.447,1.056,28.308,12.163,6.568,31.312,5.077,49.241,2.428,2.218,21.505,1.667,23.912,59.732,2.501,1.56,116.42,6.818,0.522,47.706,25.445,12.011,11.082,13.257,16.3,21.54,37.43,23.91,8:25,
435,U,Urban,Radford,20IJV20,9,6/16/2020,2020,4.722,0.25,14.456,4.98,1.38,42.458,4.466,5.428,6.87,4.931,65.252,1.558,1.371,31.15,2.027,17.827,15.421,2.241,0.5,30.975,1.538,1.043,87.393,9.107,5.94,6.829,1.627,13.8,21.43,34.8,26.7,NA,
474,U,Urban,SVT,21SJL20,9,6/18/2020,2020,9.362,0.25,19.906,15.077,2.041,31.534,8.678,4.767,16.257,4.453,30.702,2.478,2.448,26.269,3.273,8.934,38.713,3.189,0.5,49.128,1.815,1.059,51.177,19.977,5.454,8.013,10.288,13.8,20.26666667,NA,24.5,12:05,
458,U,Urban,Radford,03SJL21,10,5/10/2021,2021,24.222,76.57,23.758,52.65,1.274,24.127,50.428,2.372,53.48,9.396,45.529,1.523,2.378,31.663,1.696,24.904,133.557,3.593,1.045,33.899,14.827,0.5,66.494,75.427,7.821,21.952,46.319,12.4,18.34,28.31,21.92,9:12,
727,U,Urban,Radford,22TEF21,9,6/20/2021,2021,9.953,1.741,9.87,6.573,4.582,72.69,7.292,13.988,10.825,3.491,27.093,1.585,2.349,24.478,5.376,12.072,17.75,1.266,1.077,12.379,4.238,1.01,266.077,8.451,3.402,6.35,5.206,12,19.46,30.51,17.91,7:38,
455,U,Urban,Radford,30SJL20,9,6/18/2020,2020,2.612,0.502,9.791,3.745,5.364,19.073,1.577,1.759,12.499,8.734,35.423,2.495,2.079,14.126,7.147,31.278,16.803,1.879,0.911,42.857,2.703,0.81,30.773,4.034,2.678,4.325,3.168,13.1,20.7,35.9,21.2,8:23,
449,U,Urban,SVT,21IJV20,10,6/12/2020,2020,28.459,2.172,36.115,19.311,1.178,40.552,23.969,3.988,26.549,9.133,55.721,3.28,2.624,27.231,2.006,7.47,43.605,3.545,6.602,52.915,7.549,0.861,64.024,27.35,7.221,15.871,15.581,15.9,22,34.7,25.9,11:00,
963,U,Urban,SVT,21IJV21,9,5/25/2021,2021,3.593,0.863,11.631,3.575,0.601,31.48,5.169,6.444,10.206,7.299,31.459,0.98,1.67,20.14,0.965,17.571,15.328,1.39,0.979,47.303,2.121,0.482,47.662,4.603,3.333,4.899,4.649,14,20.52,39.86,NA,7:05,
972,U,Urban,SVT,05SJL21,9,5/7/2021,2021,23.93,6.45,30.163,21.281,2.395,54.529,31.235,14.003,35.615,5.171,34.285,1.924,3.899,36.803,3.301,24.413,60.045,1.751,2.17,73.241,14.476,1.799,64.211,27.522,9.624,15.772,17.534,14.7,17.1,29.51,21.84,NA,
429,U,Urban,Radford,17SJL20,9,6/13/2020,2020,15.866,2.287,25.367,17.349,0.56,11.133,13.9,2.989,27.421,8.514,43.078,3.415,2.442,23.013,0.976,34.756,51.532,3.028,1.525,60.72,4.445,0.516,51.885,23.084,5.664,10.542,17.365,17,21.53,39.6,26.7,9:33,
420,U,Urban,SVT,05IJV20,9,5/12/2020,2020,13.89,0.25,19.867,13.23,3.326,49.413,7.111,3.545,26.75,14.472,62.511,3.744,1.507,46.152,4.086,17.11,35.111,2.155,3.904,74.511,8.576,0.789,37.419,17.476,3.28,7.87,25.372,13,19.1,26.4,14.9,11:57,
943,U,Urban,SVT,22SJL21,9,5/22/2021,2021,18.246,4.708,19.573,23.007,13.884,94.772,10.019,4.963,20.328,13.059,44.615,2.851,1.734,15.747,15.839,16.523,62.075,2.865,1.907,14.898,6.515,1.614,145.223,29.039,4.222,9.086,9.142,15.3,19.92,26.57,21.44,11:11,
917,U,Urban,Radford,24IJV21,9,6/10/2021,2021,6.69,1.501,10.704,5.622,1.454,25.722,3.469,5.277,14.523,13.957,60.837,3.388,2.095,19.968,1.61,65.818,24.645,1.819,2.151,104.281,3.031,0.58,30.363,8.233,5.36,7.029,4.398,17.6,22.19,38.28,27.3,11:00,
886,U,Urban,NVT,07IJV20,10,5/7/2020,2020,9.794,1.504,15.361,13.33,0.25,16.942,17.524,4.001,16.068,9.58,41.919,1.709,1.831,19.117,0.655,17.987,38.176,1.612,1.219,60.529,2.704,0.25,21.993,18.753,5.588,10.236,7.428,NA,21.53,41.1,NA,11:30,
899,U,Urban,SVT,05SJL20,9,5/3/2020,2020,12.008,1.856,17.489,6.955,5.885,111.958,7.858,6.539,24.904,12.375,78.317,4.704,1.713,19.836,6.145,18.897,20.785,1.276,8.28,57.604,7.463,1.578,80.218,7.725,3.64,7.898,25.577,14.4,19.73,NA,NA,9:30,
914,UC,Urban,SVT,32SJL21,9,6/10/2021,2021,6.083,4.035,9.668,7.575,3.723,28.487,4.356,2.225,18.989,7.556,42.81,1.761,2.053,15.748,3.953,30.343,30.11,2.081,1.088,105.197,4.369,0.529,58.061,10.853,5.103,5.13,10.222,14.7,21.17,34.65,23.31,10:15,
923,UC,Urban,NVT,13SJL21,9,5/26/2021,2021,4.212,0.777,7.516,8.346,5.618,35.982,6.455,7.146,10.848,2.009,19.282,3.479,1.534,17.153,7.279,10.84,44.79,1.701,0.5,40.01,5.008,1.128,80.561,11.891,3.021,5.152,2.862,8.5,16.06,18.85,12.75,7:42,
795,UC,Urban,NVT,27IJV22,8,6/24/2022,2022,8.307,3.593,9.986,8.093,0.484,14.797,6.374,1.684,10.592,5.219,27.72,1.557,1.693,11.991,0.574,11.961,21.722,1.556,0.5,55.042,1.869,0.25,25.563,10.506,3.041,6.646,3.771,15.5,21.54,39.67,24.12,10:30,
730,UC,Urban,Radford,30SJL21,9,6/20/2021,2021,27.078,2.867,28.787,19.955,2.288,27.973,27.29,2.752,24.452,8.1,33.854,2.587,2.918,28.362,3.283,9.963,49.026,2.303,1.863,15.542,6.325,0.25,78.264,26.71,4.685,15.006,15.75,13.5,20.05,30.58,16.99,6:55,
713,UC,Urban,SVT,34SJL21,8,7/2/2021,2021,45.728,9.458,42.292,48.931,3.25,34.148,43.336,2.72,41.796,2.885,42.114,2.641,1.897,57.713,3.483,32.416,93.187,2.984,2.349,36.44,14.467,0.604,69.304,70.687,12.155,24.818,16.548,9.9,19.23,29.43,19.12,9:14,
463,UC,Urban,NVT,01SJL21,9,5/5/2021,2021,6.768,3.204,14.997,5.223,0.299,17.016,11.057,6.272,24.303,9.17,41.206,2.402,1.866,21.59,0.765,41.757,24.117,1.666,1.233,110.878,7.27,0.25,17.848,5.625,5.769,8.87,36.569,15.7,20.12,36.94,4.69,11:20,
961,UC,Urban,SVT,27SJL21,9,5/31/2021,2021,30.533,6.836,26.956,22.906,1.335,23.245,21.001,2.646,44.534,8.744,52.316,1.969,2.036,19.71,2.323,20.826,51.812,1.649,2.43,56.412,10.156,0.61,59.829,29.136,9.088,14.715,22.416,15,20.96,34.9,25.06,9:07,
447,UC,Urban,SVT,15IJV20,9,6/12/2020,2021,25.621,4.697,38.206,21.475,0.25,23.837,28.623,3.716,29.359,9.144,43.704,2.253,2.749,25.758,0.641,27.456,52.855,2.596,1.806,40.256,5.914,0.666,48.213,46.434,7.378,12.672,17.043,16.6,21.5,38,24.5,NA,
441,UC,Urban,SVT,16TEF21,9,6/11/2021,2021,18.109,3.648,21.378,8.272,1.24,38.812,19.441,6.034,36.505,14.615,49.821,2.011,2.312,20.259,1.619,38.451,37.413,2.047,2.633,95.033,9.019,0.25,36.385,8.955,5.383,10.152,16.932,14.7,20.12,32.54,20.35,6:44,
433,UC,Urban,NVT,18SJL20,9,6/12/2020,2020,16.201,0.291,23.6,13.682,1.473,27.519,16.19,3.46,23.025,5.236,33.749,2.7,2.053,19.042,1.77,28.171,47.993,1.831,2.313,125.266,4.864,1.14,38.801,15.99,7.675,7.933,9.898,17.4,21.67,35.5,24.8,11:00,
423,UC,Urban,,,9,6/12/2020,2020,21.927,0.25,31.071,30.364,2.918,37.668,12.542,2.733,29.552,9.907,45.694,2.708,2.504,32.477,3.217,14.107,83.547,4.019,1.627,37.743,5.167,0.716,58.119,42.328,6.734,12.919,24.2,NA,NA,NA,NA,NA,
409,UC,Urban,Radford,28SJL20,9,6/1/2020,2020,23.8,3.58,21.389,26.349,1.103,39.629,24.396,1.733,46.171,9.73,62.083,2.71,3.042,18.17,1.301,44.08,74.86,2.439,11.337,167.356,14.054,0.568,32.739,48.218,7.03,12.699,29.639,14.3,20.01,27.8,14.4,10:13,
930,UC,Urban,NVT,08IJV21,9,5/16/2021,2021,15.918,2.373,17.276,24.138,2.923,50.025,12.364,6.238,33.844,13.339,49.71,4.107,3.351,25.331,2.783,28.115,73.646,4.381,1.207,10.127,5.472,0.746,36.094,31.994,5.885,13.222,19.473,14.4,20.54,37.49,24.95,9:55,
976,UC,Urban,NVT,01SJL21,9,5/5/2021,2021,11.229,3.938,14.842,12.267,1.071,28.615,16.206,5.192,28.286,6.015,27.867,3.507,2.031,14.484,1.287,15.843,46.939,1.849,1.444,60.49,8.106,0.25,13.604,11.559,8.144,10.763,35.199,15.7,20.08,NA,23.58,11:20,
725 avg,R,Rural,Stream,03CAM21,9,6/22/2021,2021,14.7395,2.422,22.635,11.6055,1.1695,37.4055,8.9355,3.074,30.0215,6.7335,41.4085,2.519,2.4425,20.4035,1.5685,20.6465,39.686,1.996,1.9505,41.0855,5.147,0.5585,74.4635,12.1355,9.923,10.2995,10.6505,16.4,20.99,38.49,27.53,7:44,
905 avg,U,Urban,SVT,07SJL22,9,5/23/2022,2022,21.5645,7.783,29.175,12.9335,0.4,26.178,23.2945,4.0945,27.2085,10.832,34.3325,2.3435,2.491,23.8605,0.7935,34.0315,42.0595,3.4535,2.4125,65.4845,9.4875,0.25,39.5055,16.8375,9.2475,12.43,11.6055,12.7,19.56,31.9,23.39,NA,
